--------------------   Cyclic Coordinate   --------------------

+-----+------------------------+---+---------+------------------------+-----------+------------------------+
|  k  |         x f(x)         | j |    d    |          y(j)          |   landa   |         y(j+1)         |
|  10 | (6.627638 , 33.931762) | 1 | (1 , 0) | (6.627638 , 33.931762) | -0.001137 | (6.626501 , 33.931762) |
|  10 |       -27.424259       | 2 | (0 , 1) | (6.626501 , 33.931762) | -0.005490 | (6.626501 , 33.926272) |
|  11 | (6.626501 , 33.926272) | 1 | (1 , 0) | (6.626501 , 33.926272) | -0.001137 | (6.625365 , 33.926272) |
|  11 |       -27.424548       | 2 | (0 , 1) | (6.625365 , 33.926272) | -0.005938 | (6.625365 , 33.920333) |
|  12 | (6.625365 , 33.920333) | 1 | (1 , 0) | (6.625365 , 33.920333) | -0.001137 | (6.624228 , 33.920333) |
|  12 |       -27.424834       | 2 | (0 , 1) | (6.624228 , 33.920333) | -0.005490 | (6.624228 , 33.914843) |
|  13 | (6.624228 , 33.914843) | 1 | (1 , 0) | (6.624228 , 33.914843) | -0.001137 | (6.623091 , 33.914843) |
|  13 |       -27.425118       | 2 | (0 , 1) | (6.623091 , 33.914843) | -0.005490 | (6.623091 , 33.909353) |
|  14 | (6.623091 , 33.909353) | 1 | (1 , 0) | (6.623091 , 33.909353) | -0.001137 | (6.621954 , 33.909353) |
|  14 |       -27.425399       | 2 | (0 , 1) | (6.621954 , 33.909353) | -0.005938 | (6.621954 , 33.903415) |
|  15 | (6.621954 , 33.903415) | 1 | (1 , 0) | (6.621954 , 33.903415) | -0.001137 | (6.620817 , 33.903415) |
|  15 |       -27.425678       | 2 | (0 , 1) | (6.620817 , 33.903415) | -0.005490 | (6.620817 , 33.897925) |
|  16 | (6.620817 , 33.897925) | 1 | (1 , 0) | (6.620817 , 33.897925) | -0.001137 | (6.619681 , 33.897925) |
|  16 |       -27.425954       | 2 | (0 , 1) | (6.619681 , 33.897925) | -0.005938 | (6.619681 , 33.891986) |
|  17 | (6.619681 , 33.891986) | 1 | (1 , 0) | (6.619681 , 33.891986) | -0.001137 | (6.618544 , 33.891986) |
|  17 |       -27.426227       | 2 | (0 , 1) | (6.618544 , 33.891986) | -0.005490 | (6.618544 , 33.886496) |
|  18 | (6.618544 , 33.886496) | 1 | (1 , 0) | (6.618544 , 33.886496) | -0.001137 | (6.617407 , 33.886496) |
|  18 |       -27.426498       | 2 | (0 , 1) | (6.617407 , 33.886496) | -0.005938 | (6.617407 , 33.880558) |
|  19 | (6.617407 , 33.880558) | 1 | (1 , 0) | (6.617407 , 33.880558) | -0.001137 | (6.616270 , 33.880558) |
|  19 |       -27.426766       | 2 | (0 , 1) | (6.616270 , 33.880558) | -0.005490 | (6.616270 , 33.875068) |
|  20 | (6.616270 , 33.875068) | 1 | (1 , 0) | (6.616270 , 33.875068) | -0.001137 | (6.615133 , 33.875068) |
|  20 |       -27.427032       | 2 | (0 , 1) | (6.615133 , 33.875068) | -0.005490 | (6.615133 , 33.869578) |
|  21 | (6.615133 , 33.869578) | 1 | (1 , 0) | (6.615133 , 33.869578) | -0.001137 | (6.613996 , 33.869578) |
|  21 |       -27.427295       | 2 | (0 , 1) | (6.613996 , 33.869578) | -0.005938 | (6.613996 , 33.863639) |
|  22 | (6.613996 , 33.863639) | 1 | (1 , 0) | (6.613996 , 33.863639) | -0.001137 | (6.612860 , 33.863639) |
|  22 |       -27.427556       | 2 | (0 , 1) | (6.612860 , 33.863639) | -0.005490 | (6.612860 , 33.858149) |
|  23 | (6.612860 , 33.858149) | 1 | (1 , 0) | (6.612860 , 33.858149) | -0.001137 | (6.611723 , 33.858149) |
|  23 |       -27.427813       | 2 | (0 , 1) | (6.611723 , 33.858149) | -0.005938 | (6.611723 , 33.852211) |
|  24 | (6.611723 , 33.852211) | 1 | (1 , 0) | (6.611723 , 33.852211) | -0.001137 | (6.610586 , 33.852211) |
|  24 |       -27.428069       | 2 | (0 , 1) | (6.610586 , 33.852211) | -0.005490 | (6.610586 , 33.846721) |
|  25 | (6.610586 , 33.846721) | 1 | (1 , 0) | (6.610586 , 33.846721) | -0.001137 | (6.609449 , 33.846721) |
|  25 |       -27.428321       | 2 | (0 , 1) | (6.609449 , 33.846721) | -0.005938 | (6.609449 , 33.840782) |
|  26 | (6.609449 , 33.840782) | 1 | (1 , 0) | (6.609449 , 33.840782) | -0.001137 | (6.608312 , 33.840782) |
|  26 |       -27.428572       | 2 | (0 , 1) | (6.608312 , 33.840782) | -0.005490 | (6.608312 , 33.835292) |
|  27 | (6.608312 , 33.835292) | 1 | (1 , 0) | (6.608312 , 33.835292) | -0.001137 | (6.607176 , 33.835292) |
|  27 |       -27.428819       | 2 | (0 , 1) | (6.607176 , 33.835292) | -0.005490 | (6.607176 , 33.829802) |
|  28 | (6.607176 , 33.829802) | 1 | (1 , 0) | (6.607176 , 33.829802) | -0.001137 | (6.606039 , 33.829802) |
|  28 |       -27.429064       | 2 | (0 , 1) | (6.606039 , 33.829802) | -0.005938 | (6.606039 , 33.823864) |
|  29 | (6.606039 , 33.823864) | 1 | (1 , 0) | (6.606039 , 33.823864) | -0.001137 | (6.604902 , 33.823864) |
|  29 |       -27.429307       | 2 | (0 , 1) | (6.604902 , 33.823864) | -0.005490 | (6.604902 , 33.818374) |
|  30 | (6.604902 , 33.818374) | 1 | (1 , 0) | (6.604902 , 33.818374) | -0.001137 | (6.603765 , 33.818374) |
|  30 |       -27.429546       | 2 | (0 , 1) | (6.603765 , 33.818374) | -0.005938 | (6.603765 , 33.812435) |
|  31 | (6.603765 , 33.812435) | 1 | (1 , 0) | (6.603765 , 33.812435) | -0.001137 | (6.602628 , 33.812435) |
|  31 |       -27.429784       | 2 | (0 , 1) | (6.602628 , 33.812435) | -0.005490 | (6.602628 , 33.806945) |
